iter	Accuracy	MultiClass
595	0.7862499013	0.5144259124
596	0.7863419896	0.5143526736
597	0.7863288342	0.5142906879
598	0.786381456	0.5142420119
599	0.7864735443	0.5141960027
600	0.786381456	0.5140399071
601	0.7864209225	0.5140138946
602	0.7866182545	0.5139322608
603	0.7866577209	0.5138878615
604	0.7866050991	0.5138585349
605	0.7866050991	0.5138054061
606	0.7864603889	0.5137585648
607	0.7866182545	0.513664187
608	0.78663141	0.5136153491
609	0.7867498092	0.513536892
610	0.7869076749	0.5133882487
611	0.7869339858	0.5133454545
612	0.7869866077	0.5132350618
613	0.7871707843	0.5131719626
614	0.7871313179	0.5131099062
615	0.7871707843	0.51301552
616	0.7871970953	0.5129592097
617	0.7871970953	0.5129235114
618	0.7871970953	0.5128395692
619	0.7872497172	0.5128176474
620	0.7872102507	0.512693745
621	0.7872760281	0.5126405906
622	0.7872760281	0.5124186096
623	0.7872891836	0.5123463902
624	0.7873154945	0.5122550544
625	0.7875259821	0.5118743589
626	0.7875654485	0.5118021056
627	0.7876443813	0.51166968
628	0.7875917594	0.5116287344
629	0.7877627805	0.5115346691
630	0.787775936	0.5114753445
631	0.7878285579	0.5113674095
632	0.7879206462	0.5113178572
633	0.7878811798	0.511257363
634	0.7878811798	0.5111997757
635	0.787999579	0.5111374574
636	0.7880785119	0.5111071968
637	0.7880522009	0.5110103516
638	0.7880522009	0.5109595202
639	0.7879338017	0.5109370606
640	0.7879864236	0.5108536431
641	0.7879338017	0.5107760558
642	0.7881442892	0.5106136209
643	0.787999579	0.5105477271
644	0.7879206462	0.5104901666
645	0.7879338017	0.5104438521
646	0.7879338017	0.5104269527
647	0.7879074907	0.5103061991
648	0.7879601126	0.5102263412
649	0.7880653564	0.5101182608
650	0.7881179783	0.5100635498
651	0.7883679322	0.5099201611
652	0.7884468651	0.5098345701
653	0.7885521088	0.5097504518
654	0.7885389534	0.5097061348
655	0.7886047307	0.509616792
656	0.7886836635	0.5095853174
657	0.7886573526	0.5095546014
658	0.7885915752	0.5095076831
659	0.7886178862	0.5094539208
660	0.7886310417	0.50939803
661	0.7886310417	0.509352201
662	0.7885915752	0.5092895836
663	0.7888678401	0.5091619099
664	0.7888546847	0.5090828928
665	0.788946773	0.5090307924
666	0.7891177941	0.5088950811
667	0.7890257058	0.508820706
668	0.7890783277	0.508763815
669	0.7891309496	0.5086604593
670	0.7891177941	0.5085958246
671	0.789170416	0.5084742243
672	0.7890914831	0.5084368853
673	0.7893809035	0.5082677001
674	0.7894466809	0.5082332318
675	0.7894335254	0.5081914595
676	0.7894203699	0.5081077653
677	0.7894598363	0.5080576776
678	0.7894072145	0.5080027554
679	0.7894993028	0.5079463142
680	0.7894861473	0.5078946421
681	0.7895256137	0.5078561123
682	0.7896571684	0.5077602135
683	0.7897229458	0.5076669482
684	0.7897887231	0.5076181364
685	0.7898018786	0.5075611017
686	0.7898939669	0.5075020446
687	0.7899202778	0.5074370031
688	0.7899465888	0.5073174935
689	0.7899860552	0.5072629181
690	0.7899728997	0.5072160925
691	0.7899202778	0.5071007099
692	0.7899071224	0.50705929
693	0.7899202778	0.5070083221
694	0.7899071224	0.5069598034
695	0.7900518326	0.5068838845
696	0.790064988	0.5068312813
697	0.7900123661	0.5067692224
698	0.7901307654	0.5067008392
699	0.7901833873	0.5065821705
700	0.7902360092	0.5064922306
701	0.7902228537	0.5064135695
702	0.7902096982	0.5063691611
703	0.7902360092	0.5063266943
704	0.7902360092	0.5062706149
705	0.7902754756	0.5062195741
706	0.7905648959	0.5061235913
707	0.7905648959	0.5060807471
708	0.7906175178	0.5060215968
709	0.7905780514	0.5059005965
710	0.7906043624	0.5058700625
711	0.7906306733	0.5058402469
712	0.7906306733	0.5057795731
713	0.7906306733	0.5057438054
714	0.790762228	0.5056760014
715	0.790762228	0.5055394787
716	0.7908016944	0.5054806539
717	0.7908280054	0.5054195303
718	0.7908016944	0.5053178274
719	0.790788539	0.5052528542
720	0.7908411608	0.5051973904
721	0.790985871	0.5051526433
722	0.7909464046	0.5050437563
723	0.790985871	0.5049732567
724	0.7910384929	0.5049419518
725	0.790985871	0.5047842719
726	0.7910516484	0.5047024619
727	0.7911305812	0.5046574867
728	0.7911174257	0.5046123672
729	0.7911042703	0.5045179629
730	0.7912226695	0.5044179612
731	0.7911832031	0.5043867783
732	0.7913016023	0.5042833952
733	0.7914200016	0.5041654253
734	0.7914331571	0.5040966703
735	0.7915515563	0.5040346954
736	0.7916436446	0.5039841217
737	0.7916568001	0.5039405202
738	0.7915910227	0.5036473363
739	0.7916173336	0.5035718496
740	0.7917225774	0.5034643048
